id,place_id,"name","created_at","updated_at"
1,NULL,"American","2011-08-24 23:51:29","2011-08-24 23:51:29"
2,NULL,"Asian","2011-08-24 23:51:29","2011-08-24 23:51:29"
3,NULL,"African","2011-08-24 23:51:29","2011-08-24 23:51:29"
4,NULL,"European","2011-08-24 23:51:29","2011-08-24 23:51:29"
5,NULL,"Central/South American","2011-08-24 23:51:29","2011-08-24 23:51:29"
6,NULL,"Mediterranean","2011-08-24 23:51:29","2011-08-24 23:51:29"
7,NULL,"Middle Eastern","2011-08-24 23:51:29","2011-08-24 23:51:29"
8,NULL,"French","2011-08-24 23:51:29","2011-08-24 23:51:29"
9,NULL,"German","2011-08-24 23:51:29","2011-08-24 23:51:29"
10,NULL,"Greek","2011-08-24 23:51:29","2011-08-24 23:51:29"
11,NULL,"Indian","2011-08-24 23:51:29","2011-08-24 23:51:29"
12,NULL,"Irish","2011-08-24 23:51:29","2011-08-24 23:51:29"
13,NULL,"Italian","2011-08-24 23:51:29","2011-08-24 23:51:29"
14,NULL,"Japanese","2011-08-24 23:51:29","2011-08-24 23:51:29"
15,NULL,"Korean","2011-08-24 23:51:29","2011-08-24 23:51:29"
16,NULL,"Mexican","2011-08-24 23:51:29","2011-08-24 23:51:29"
17,NULL,"Lebanese","2011-08-24 23:51:29","2011-08-24 23:51:29"
18,NULL,"Spanish","2011-08-24 23:51:29","2011-08-24 23:51:29"
19,NULL,"Portuguese","2011-08-24 23:51:29","2011-08-24 23:51:29"
20,NULL,"Scottish","2011-08-24 23:51:29","2011-08-24 23:51:29"
21,NULL,"Turkish","2011-08-24 23:51:29","2011-08-24 23:51:29"
22,NULL,"Thai","2011-08-24 23:51:29","2011-08-24 23:51:29"
23,NULL,"Vietnamese","2011-08-24 23:51:29","2011-08-24 23:51:29"
