id,"name","created_at","updated_at"
1,"Chill","2011-08-24 23:51:29","2011-08-24 23:51:29"
2,"Cozy","2011-08-24 23:51:29","2011-08-24 23:51:29"
3,"Classy","2011-08-24 23:51:29","2011-08-24 23:51:29"
4,"Fun","2011-08-24 23:51:29","2011-08-24 23:51:29"
5,"Delectable","2011-08-24 23:51:29","2011-08-24 23:51:29"
6,"Romantic","2011-08-24 23:51:29","2011-08-24 23:51:29"
7,"Special","2011-08-24 23:51:29","2011-08-24 23:51:29"
8,"In and Out","2011-08-24 23:51:29","2011-08-24 23:51:29"
9,"Innovative","2011-08-24 23:51:29","2011-08-24 23:51:29"
10,"Indulgen","2011-08-24 23:51:29","2011-08-24 23:51:29"
11,"Homestyle","2011-08-24 23:51:29","2011-08-24 23:51:29"
12,"Avant-garde","2011-08-24 23:51:29","2011-08-24 23:51:29"
13,"Exquisite","2011-08-24 23:51:29","2011-08-24 23:51:29"
